Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.200000,2.320000,2.200000,2.280000,1.171119,9380000
2000-01-04,2.280000,2.320000,2.220000,2.240000,1.150574,9640000
2000-01-05,2.180000,2.240000,2.140000,2.200000,1.130028,14240000
2000-01-06,2.200000,2.240000,2.160000,2.160000,1.109482,6640000
2000-01-07,2.160000,2.160000,2.160000,2.160000,1.109482,0
2000-01-10,2.160000,2.160000,2.160000,2.160000,1.109482,0
2000-01-11,2.220000,2.420000,2.220000,2.360000,1.212212,18615000
2000-01-12,2.360000,2.600000,2.340000,2.560000,1.314941,22360000
2000-01-13,2.580000,2.800000,2.580000,2.700000,1.386852,22700000
2000-01-14,2.720000,2.920000,2.720000,2.800000,1.438217,32870000
2000-01-17,2.840000,3.040000,2.840000,2.960000,1.520401,25645000
2000-01-18,2.960000,2.960000,2.840000,2.920000,1.499855,5180000
2000-01-19,2.820000,3.000000,2.820000,2.860000,1.469036,7305000
2000-01-20,2.880000,2.960000,2.840000,2.840000,1.458763,5945000
2000-01-21,2.820000,2.840000,2.680000,2.720000,1.397125,9360000
2000-01-24,2.740000,2.800000,2.700000,2.720000,1.397125,7380000
2000-01-25,2.760000,2.760000,2.660000,2.700000,1.386852,5195000
2000-01-26,2.760000,2.760000,2.700000,2.740000,1.407399,3835000
2000-01-27,2.760000,2.760000,2.620000,2.680000,1.376579,5025000
2000-01-28,2.720000,2.720000,2.640000,2.700000,1.386852,5015000
2000-01-31,2.660000,2.700000,2.580000,2.640000,1.356033,4455000
2000-02-01,2.640000,2.640000,2.640000,2.640000,1.356033,0
2000-02-02,2.660000,2.800000,2.660000,2.780000,1.427944,5935000
2000-02-03,2.800000,2.920000,2.800000,2.920000,1.499855,8425000
2000-02-04,2.920000,2.920000,2.920000,2.920000,1.499855,0
2000-02-07,2.920000,2.920000,2.920000,2.920000,1.499855,0
2000-02-08,2.960000,3.020000,2.920000,2.940000,1.510128,9485000
2000-02-09,2.960000,3.000000,2.960000,2.980000,1.530674,7165000
2000-02-10,2.960000,3.080000,2.960000,3.060000,1.571766,17095000
2000-02-11,3.100000,3.120000,3.040000,3.100000,1.592312,8945000
2000-02-14,2.960000,3.080000,2.960000,3.080000,1.582039,4800000
2000-02-15,3.080000,3.100000,2.940000,2.940000,1.510128,4285000
2000-02-16,2.940000,3.020000,2.780000,2.800000,1.438217,9850000
2000-02-17,2.840000,2.860000,2.760000,2.780000,1.427944,9890000
2000-02-18,2.800000,2.820000,2.740000,2.780000,1.427944,17020000
2000-02-21,2.740000,2.860000,2.740000,2.820000,1.448490,8695000
2000-02-22,2.820000,2.820000,2.740000,2.740000,1.407399,8025000
2000-02-23,2.760000,2.780000,2.740000,2.740000,1.407399,3700000
2000-02-24,2.760000,2.760000,2.700000,2.720000,1.397125,4275000
2000-02-25,2.720000,2.720000,2.600000,2.660000,1.366306,5805000
2000-02-28,2.620000,2.640000,2.580000,2.620000,1.345760,4070000
2000-02-29,2.640000,2.760000,2.560000,2.760000,1.417671,7110000
2000-03-01,2.760000,2.800000,2.720000,2.760000,1.417671,7680000
2000-03-02,2.760000,2.760000,2.600000,2.660000,1.366306,6265000
2000-03-03,2.680000,2.700000,2.640000,2.680000,1.376579,5075000
2000-03-06,2.720000,2.720000,2.660000,2.660000,1.366306,3820000
2000-03-07,2.640000,2.680000,2.600000,2.600000,1.335487,11275000
2000-03-08,2.560000,2.560000,2.440000,2.560000,1.314941,11350000
2000-03-09,2.560000,2.560000,2.480000,2.500000,1.284122,4575000
2000-03-10,2.540000,2.560000,2.440000,2.460000,1.263576,8210000
2000-03-13,2.520000,2.520000,2.440000,2.460000,1.263576,6825000
2000-03-14,2.460000,2.460000,2.360000,2.460000,1.263576,4980000
2000-03-15,2.380000,2.460000,2.360000,2.460000,1.263576,2330000
2000-03-16,2.460000,2.460000,2.460000,2.460000,1.263576,0
2000-03-17,2.500000,2.540000,2.400000,2.420000,1.243031,7830000
2000-03-20,2.420000,2.520000,2.380000,2.400000,1.232758,8460000
2000-03-21,2.400000,2.540000,2.400000,2.460000,1.263576,6210000
2000-03-22,2.460000,2.560000,2.460000,2.500000,1.284122,6425000
2000-03-23,2.520000,2.600000,2.520000,2.560000,1.314941,9655000
2000-03-24,2.600000,2.620000,2.560000,2.580000,1.325215,4145000
2000-03-27,2.580000,2.720000,2.580000,2.680000,1.376579,9225000
2000-03-28,2.720000,2.720000,2.680000,2.680000,1.376579,4445000
2000-03-29,2.680000,2.780000,2.680000,2.680000,1.376579,16095000
2000-03-30,2.680000,2.680000,2.560000,2.600000,1.335487,2605000
2000-03-31,2.580000,2.620000,2.500000,2.520000,1.294395,6235000
2000-04-03,2.560000,2.560000,2.420000,2.460000,1.263576,5380000
2000-04-04,2.500000,2.500000,2.420000,2.420000,1.243031,5100000
2000-04-05,2.420000,2.460000,2.420000,2.440000,1.253303,1420000
2000-04-06,2.440000,2.440000,2.440000,2.440000,1.253303,0
2000-04-07,2.460000,2.500000,2.400000,2.400000,1.232758,10185000
2000-04-10,2.460000,2.520000,2.440000,2.500000,1.284122,5405000
2000-04-11,2.460000,2.480000,2.400000,2.440000,1.253303,3685000
2000-04-12,2.460000,2.500000,2.440000,2.480000,1.273849,2365000
2000-04-13,2.480000,2.480000,2.380000,2.380000,1.222485,5705000
2000-04-14,2.380000,2.400000,2.280000,2.380000,1.222485,9330000
2000-04-17,2.200000,2.300000,2.140000,2.220000,1.140301,14760000
2000-04-18,2.240000,2.340000,2.200000,2.340000,1.201939,11955000
2000-04-19,2.360000,2.380000,2.260000,2.280000,1.171119,8395000
2000-04-20,2.280000,2.300000,2.220000,2.220000,1.140301,1870000
2000-04-21,2.260000,2.280000,2.240000,2.260000,1.160847,525000
2000-04-24,2.260000,2.260000,2.160000,2.160000,1.109482,3610000
2000-04-25,2.220000,2.240000,2.140000,2.220000,1.140301,2300000
2000-04-26,2.260000,2.420000,2.260000,2.360000,1.212212,9895000
2000-04-27,2.340000,2.420000,2.300000,2.400000,1.232758,3160000
2000-04-28,2.420000,2.480000,2.420000,2.460000,1.263576,3870000
2000-05-01,2.460000,2.460000,2.460000,2.460000,1.263576,0
2000-05-02,2.460000,2.480000,2.420000,2.480000,1.273849,2380000
2000-05-03,2.440000,2.580000,2.440000,2.580000,1.325215,6785000
2000-05-04,2.540000,2.600000,2.480000,2.540000,1.304669,4050000
2000-05-05,2.540000,2.580000,2.540000,2.580000,1.325215,6890000
2000-05-08,2.580000,2.640000,2.580000,2.640000,1.356033,7165000
2000-05-09,2.640000,2.640000,2.640000,2.640000,1.356033,0
2000-05-10,2.700000,2.720000,2.620000,2.720000,1.397125,12655000
2000-05-11,2.660000,2.660000,2.520000,2.520000,1.294395,7655000
2000-05-12,2.560000,2.640000,2.540000,2.540000,1.304669,8675000
2000-05-15,2.600000,2.640000,2.580000,2.620000,1.345760,8425000
2000-05-16,2.620000,2.700000,2.600000,2.680000,1.376579,5835000
2000-05-17,2.700000,2.780000,2.660000,2.760000,1.417671,14035000
2000-05-18,2.760000,2.760000,2.760000,2.760000,1.417671,0
2000-05-19,2.760000,2.860000,2.740000,2.860000,1.469036,17885000
2000-05-22,2.840000,2.840000,2.740000,2.760000,1.417671,11580000
2000-05-23,2.760000,2.760000,2.500000,2.520000,1.294395,31145000
2000-05-24,2.500000,2.540000,2.400000,2.440000,1.253303,23210000
2000-05-25,2.480000,2.480000,2.240000,2.360000,1.212212,43520000
2000-05-26,2.280000,2.320000,2.220000,2.240000,1.150574,31670000
2000-05-29,2.240000,2.380000,2.240000,2.360000,1.212212,18465000
2000-05-30,2.360000,2.360000,2.360000,2.360000,1.212212,0
2000-05-31,2.360000,2.500000,2.360000,2.380000,1.222485,22940000
2000-06-01,2.400000,2.420000,2.320000,2.320000,1.191666,8195000
2000-06-02,2.340000,2.380000,2.260000,2.260000,1.160847,12570000
2000-06-05,2.300000,2.340000,2.240000,2.280000,1.171119,12105000
2000-06-06,2.280000,2.320000,2.260000,2.300000,1.181393,3475000
2000-06-07,2.260000,2.280000,2.220000,2.240000,1.150574,12610000
2000-06-08,2.240000,2.260000,2.160000,2.180000,1.119755,12265000
