Date,Open,High,Low,Close,Adj Close,Volume
2020-08-20,2.79,3.08,2.69,2.9,2.9,48819867.0
2020-08-21,2.9,3.09,2.73,2.88,2.88,49313137.0
2020-08-22,2.88,4.51,2.82,4.48,4.48,485801096.0
2020-08-23,4.49,4.49,3.72,3.97,3.97,320749483.0
2020-08-24,3.99,4.78,3.81,4.6,4.6,407690171.0
2020-08-25,4.58,5.76,4.5,5.52,5.52,898847538.0
2020-08-26,5.54,6.55,5.14,6.08,6.08,1054351759.0
2020-08-27,6.08,6.79,5.31,5.63,5.63,1289248953.0
2020-08-28,5.64,6.33,5.54,6.16,6.16,727162235.0
2020-08-29,6.18,6.56,6.04,6.16,6.16,527290028.0
2020-08-30,6.15,6.22,5.75,5.87,5.87,485335136.0
2020-08-31,5.91,6.46,5.77,6.3,6.3,512604781.0
2020-09-01,6.3,6.84,6.17,6.29,6.29,601527409.0
2020-09-02,6.28,6.43,5.66,6.14,6.14,584155028.0
2020-09-03,6.13,6.32,5.68,5.75,5.75,763663457.0
2020-09-04,5.73,5.98,4.63,5.15,5.15,845787793.0
2020-09-05,5.14,5.31,3.65,4.12,4.12,805800385.0
2020-09-06,4.14,4.9,3.76,4.8,4.8,924160482.0
2020-09-07,4.8,4.82,4.03,4.59,4.59,675375183.0
2020-09-08,4.59,4.62,4.12,4.27,4.27,519440288.0
2020-09-09,4.28,4.8,4.16,4.71,4.71,534097094.0
2020-09-10,4.71,4.87,4.47,4.58,4.58,633577674.0
2020-09-11,4.58,4.75,4.32,4.65,4.65,633472140.0
2020-09-12,4.65,5.28,4.52,5.14,5.14,753745737.0
2020-09-13,5.15,5.48,4.81,5.3,5.3,1099475714.0
2020-09-14,5.3,5.6,5.13,5.35,5.35,1008259712.0
2020-09-15,5.37,5.45,5.1,5.1,5.1,897864384.0
2020-09-16,5.07,5.28,4.99,5.08,5.08,792360521.0
2020-09-17,5.08,5.42,5.06,5.34,5.34,776350363.0
2020-09-18,5.34,5.46,5.11,5.25,5.25,683398180.0
2020-09-19,5.25,5.26,4.82,4.93,4.93,605268040.0
2020-09-20,4.93,4.97,4.42,4.67,4.67,798507891.0
2020-09-21,4.67,4.7,3.95,4.09,4.09,1096736657.0
2020-09-22,4.09,4.21,3.92,4.17,4.17,673117344.0
2020-09-23,4.17,4.32,3.97,4.03,4.03,557062766.0
2020-09-24,4.02,4.4,3.99,4.38,4.38,437573446.0
2020-09-25,4.38,4.53,4.26,4.42,4.42,425191119.0
2020-09-26,4.42,4.46,4.24,4.35,4.35,329745176.0
2020-09-27,4.34,4.36,4.16,4.31,4.31,316361927.0
2020-09-28,4.3,4.58,4.27,4.4,4.4,543507456.0
2020-09-29,4.42,4.6,4.36,4.5,4.5,508965929.0
2020-09-30,4.5,4.5,4.25,4.35,4.35,378446620.0
2020-10-01,4.35,4.58,4.26,4.34,4.34,445143708.0
2020-10-02,4.34,4.36,3.93,4.12,4.12,554916297.0
2020-10-03,4.13,4.13,4.04,4.07,4.07,361964763.0
2020-10-04,4.07,4.2,4.02,4.17,4.17,286356969.0
2020-10-05,4.18,4.23,4.12,4.17,4.17,332264664.0
2020-10-06,4.17,4.18,3.65,3.76,3.76,662270711.0
2020-10-07,3.75,3.88,3.62,3.86,3.86,629063456.0
2020-10-08,3.86,4.16,3.66,4.1,4.1,614223111.0
2020-10-09,4.11,4.35,4.02,4.26,4.26,491506582.0
2020-10-10,4.26,4.48,4.24,4.25,4.25,492038159.0
2020-10-11,4.26,4.33,4.18,4.26,4.26,388098955.0
2020-10-12,4.26,4.44,4.21,4.32,4.32,489608532.0
2020-10-13,4.32,4.34,4.16,4.25,4.25,420659947.0
2020-10-14,4.26,4.36,4.09,4.2,4.2,520198619.0
2020-10-15,4.19,4.19,4.03,4.1,4.1,450623089.0
2020-10-16,4.1,4.16,3.84,3.91,3.91,443295515.0
2020-10-17,3.92,3.98,3.87,3.97,3.97,206453738.0
2020-10-18,3.97,4.12,3.96,4.1,4.1,204108300.0
2020-10-19,4.11,4.11,3.96,3.99,3.99,249983725.0
2020-10-20,3.99,4.14,3.88,3.91,3.91,502694693.0
2020-10-21,3.91,4.25,3.91,4.14,4.14,458018407.0
2020-10-22,4.14,4.33,4.13,4.27,4.27,367309225.0
2020-10-23,4.27,4.47,4.2,4.27,4.27,461816708.0
2020-10-24,4.27,4.43,4.24,4.36,4.36,310306552.0
2020-10-25,4.36,4.45,4.27,4.34,4.34,339106539.0
2020-10-26,4.34,4.74,4.3,4.73,4.73,722990810.0
2020-10-27,4.73,4.93,4.66,4.68,4.68,820401909.0
2020-10-28,4.68,4.77,4.26,4.37,4.37,649971738.0
2020-10-29,4.37,4.4,3.88,4.05,4.05,686597329.0
2020-10-30,4.05,4.16,3.94,4.09,4.09,586577443.0
2020-10-31,4.09,4.27,4.07,4.18,4.18,318678917.0
2020-11-01,4.18,4.23,4.12,4.23,4.23,302861124.0
2020-11-02,4.23,4.26,3.99,4.03,4.03,503474044.0
2020-11-03,4.03,4.07,3.89,4.03,4.03,413471121.0
2020-11-04,4.03,4.15,3.89,4.1,4.1,836536272.0
2020-11-05,4.1,4.3,4.03,4.24,4.24,375265287.0
2020-11-06,4.24,4.63,4.21,4.58,4.58,463200956.0
2020-11-07,4.58,4.84,4.11,4.24,4.24,724809168.0
2020-11-08,4.24,4.43,4.14,4.37,4.37,393903990.0
2020-11-09,4.37,4.46,4.25,4.35,4.35,396903280.0
2020-11-10,4.35,4.5,4.31,4.42,4.42,379322634.0
2020-11-11,4.42,4.62,4.42,4.46,4.46,404513890.0
2020-11-12,4.46,4.47,4.32,4.4,4.4,367161907.0
