Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,308.64,329.45,307.06,320.88,320.88,893249984
2017-11-10,320.67,324.72,294.54,299.25,299.25,885985984
2017-11-11,298.59,319.45,298.19,314.68,314.68,842300992
2017-11-12,314.69,319.15,298.51,307.91,307.91,1613479936
2017-11-13,307.02,328.42,307.02,316.72,316.72,1041889984
2017-11-14,316.76,340.18,316.76,337.63,337.63,1069680000
2017-11-15,337.96,340.91,329.81,333.36,333.36,722665984
2017-11-16,333.44,336.16,323.61,330.92,330.92,797254016
2017-11-17,330.17,334.96,327.52,332.39,332.39,621732992
2017-11-18,331.98,349.62,327.69,347.61,347.61,649638976
2017-11-19,347.4,371.29,344.74,354.39,354.39,1181529984
2017-11-20,354.09,372.14,353.29,366.73,366.73,807027008
2017-11-21,367.44,372.47,350.69,360.4,360.4,949912000
2017-11-22,360.31,381.42,360.15,380.65,380.65,800819008
2017-11-23,381.44,425.55,376.09,410.17,410.17,1845680000
2017-11-24,412.5,480.97,402.76,474.91,474.91,2292829952
2017-11-25,475.68,485.19,461.05,466.28,466.28,1422080000
2017-11-26,465.97,472.72,451.61,471.33,471.33,1197779968
2017-11-27,471.53,493.4,468.48,480.36,480.36,1396480000
2017-11-28,480.52,482.48,466.35,472.9,472.9,1346499968
2017-11-29,473.28,522.31,425.07,427.52,427.52,2675940096
2017-11-30,431.21,465.5,401.24,447.11,447.11,1903040000
2017-12-01,445.21,472.61,428.31,466.54,466.54,1247879936
2017-12-02,466.85,476.24,456.65,463.45,463.45,943649984
2017-12-03,463.7,482.81,451.85,465.85,465.85,990556992
2017-12-04,466.05,474.78,453.31,470.2,470.2,1005550016
2017-12-05,470.29,473.56,457.66,463.28,463.28,1216720000
2017-12-06,462.6,462.71,420.21,428.59,428.59,1998259968
2017-12-07,426.37,441.4,414.41,434.41,434.41,2129570048
2017-12-08,434.99,466.06,422.37,456.03,456.03,2336379904
2017-12-09,457.34,504.15,456.25,473.5,473.5,2003849984
2017-12-10,472.79,472.79,429.51,441.72,441.72,1404179968
2017-12-11,440.36,516.97,439.1,515.14,515.14,1771440000
2017-12-12,522.29,657.32,504.49,651.43,651.43,5179829760
2017-12-13,644.91,747.99,597.8,702.77,702.77,4524539904
2017-12-14,700.59,753.12,664.99,695.82,695.82,3821580032
2017-12-15,696.38,697.13,621.06,684.45,684.45,2758710016
2017-12-16,686.19,718.39,680.79,696.21,696.21,2165690112
2017-12-17,696.24,735.83,696.24,719.97,719.97,2147389952
2017-12-18,721.73,803.93,689.23,794.65,794.65,3249230080
2017-12-19,793.9,881.94,785.34,826.82,826.82,4096549888
2017-12-20,827.52,845.06,756.0,819.09,819.09,3969939968
2017-12-21,820.24,880.54,792.69,821.06,821.06,3569060096
2017-12-22,822.64,827.68,543.76,674.86,674.86,4977710080
2017-12-23,681.32,763.9,679.73,719.39,719.39,2480339968
2017-12-24,721.77,721.77,614.92,694.15,694.15,2300549888
2017-12-25,698.87,782.52,698.87,765.83,765.83,2491760128
2017-12-26,763.37,786.79,760.93,773.84,773.84,2201159936
2017-12-27,774.97,789.25,738.41,762.84,762.84,2100029952
2017-12-28,762.21,763.32,701.19,737.02,737.02,2389149952
2017-12-29,740.39,770.12,729.61,753.59,753.59,2648969984
2017-12-30,753.82,753.82,685.23,717.26,717.26,3187780096
2017-12-31,712.21,760.35,710.12,756.73,756.73,2554269952
2018-01-01,755.76,782.53,742.0,772.64,772.64,2595760128
