Date,Open,High,Low,Close,Adj Close,Volume
2020-10-14,1.69,1.69,1.06,1.19,1.19,94692273
2020-10-15,1.18,1.25,1.09,1.13,1.13,34933419
2020-10-16,1.12,1.15,0.81,0.82,0.82,37020875
2020-10-17,0.82,0.85,0.73,0.81,0.81,23630173
2020-10-18,0.81,0.87,0.8,0.87,0.87,14376473
2020-10-19,0.87,0.87,0.77,0.8,0.8,12526817
2020-10-20,0.8,0.81,0.67,0.68,0.68,13390242
2020-10-21,0.68,0.75,0.67,0.7,0.7,12835213
2020-10-22,0.7,0.79,0.7,0.75,0.75,11632895
2020-10-23,0.75,0.75,0.69,0.73,0.73,8050408
2020-10-24,0.73,0.75,0.71,0.74,0.74,7326431
2020-10-25,0.74,0.85,0.73,0.85,0.85,17602175
2020-10-26,0.85,0.85,0.74,0.78,0.78,14529440
2020-10-27,0.78,0.8,0.75,0.76,0.76,10473272
2020-10-28,0.76,0.78,0.68,0.7,0.7,11024111
2020-10-29,0.7,0.72,0.67,0.69,0.69,7592469
2020-10-30,0.69,0.7,0.62,0.63,0.63,11372428
2020-10-31,0.63,0.65,0.62,0.63,0.63,3374594
2020-11-01,0.63,0.66,0.6,0.63,0.63,5407189
2020-11-02,0.63,0.65,0.61,0.61,0.61,16813813
2020-11-03,0.61,0.61,0.56,0.56,0.56,1086987
2020-11-04,0.56,0.56,0.53,0.53,0.53,6449745
2020-11-05,0.53,0.72,0.53,0.69,0.69,19017738
2020-11-06,0.69,0.76,0.69,0.72,0.72,14062990
2020-11-07,0.72,0.79,0.67,0.7,0.7,14092056
2020-11-08,0.7,0.83,0.68,0.82,0.82,11126529
2020-11-09,0.82,0.93,0.8,0.91,0.91,16478134
2020-11-10,0.91,0.97,0.88,0.94,0.94,21560515
2020-11-11,0.94,0.99,0.86,0.86,0.86,14450324
2020-11-12,0.86,0.88,0.76,0.79,0.79,13343145
2020-11-13,0.79,0.91,0.78,0.9,0.9,20365195
2020-11-14,0.9,0.9,0.82,0.87,0.87,17048214
2020-11-15,0.87,0.88,0.8,0.83,0.83,23586785
2020-11-16,0.83,0.9,0.82,0.87,0.87,16713699
2020-11-17,0.92,0.98,0.89,0.93,0.93,39282785
2020-11-18,0.93,0.94,0.79,0.83,0.83,33744128
2020-11-19,0.83,0.88,0.8,0.84,0.84,10825930
2020-11-20,0.84,0.94,0.84,0.94,0.94,27528672
2020-11-21,0.94,1.2,0.94,1.18,1.18,86779207
2020-11-22,1.18,1.18,1.0,1.07,1.07,27813149
2020-11-23,1.07,1.21,1.06,1.17,1.17,40960416
2020-11-24,1.17,1.29,1.14,1.24,1.24,50191465
2020-11-25,1.24,1.3,1.08,1.11,1.11,26504409
2020-11-26,1.11,1.13,0.91,1.01,1.01,70643865
2020-11-27,1.01,1.05,0.94,1.0,1.0,32146496
2020-11-28,1.0,1.04,0.96,1.02,1.02,21095716
2020-11-29,1.02,1.04,0.99,1.01,1.01,19269022
2020-11-30,1.01,1.1,1.01,1.08,1.08,24145337
2020-12-01,1.08,1.13,1.0,1.06,1.06,65515679
2020-12-02,1.06,1.2,1.03,1.18,1.18,40593260
2020-12-03,1.18,1.19,1.14,1.16,1.16,10770456
2020-12-04,1.16,1.22,1.09,1.1,1.1,19687326
2020-12-05,1.1,1.14,1.02,1.11,1.11,24940202
2020-12-06,1.11,1.12,1.01,1.03,1.03,12028258
2020-12-07,1.03,1.05,1.01,1.01,1.01,9082075
2020-12-08,1.01,1.02,0.92,0.93,0.93,7166604
2020-12-09,0.93,1.01,0.91,1.0,1.0,20790531
2020-12-10,1.0,1.04,0.96,0.96,0.96,11182498
2020-12-11,0.96,0.96,0.87,0.87,0.87,10713460
2020-12-12,0.87,0.93,0.87,0.92,0.92,5661482
2020-12-13,0.92,0.98,0.92,0.95,0.95,5807378
2020-12-14,0.95,1.01,0.94,0.99,0.99,5692614
2020-12-15,0.99,1.02,0.98,1.01,1.01,6029516
2020-12-16,1.01,1.05,0.96,1.05,1.05,11092487
2020-12-17,1.05,1.07,0.99,0.99,0.99,11687668
2020-12-18,0.99,1.02,0.97,1.0,1.0,7282507
2020-12-19,1.0,1.12,1.0,1.05,1.05,12044621
2020-12-20,1.05,1.08,1.03,1.06,1.06,10517244
2020-12-21,1.06,1.64,1.05,1.22,1.22,106415276
2020-12-22,1.22,1.23,1.08,1.16,1.16,15117483
2020-12-23,1.16,1.18,0.91,0.96,0.96,18757954
2020-12-24,0.96,1.08,0.92,1.06,1.06,7443455
2020-12-25,1.06,1.08,1.0,1.02,1.02,11210256
2020-12-26,1.02,1.06,0.99,1.02,1.02,11186154
2020-12-27,1.02,1.24,1.0,1.2,1.2,28415925
2020-12-28,1.2,1.24,1.16,1.22,1.22,25204191
2020-12-29,1.22,1.24,1.1,1.17,1.17,19088000
2020-12-30,1.16,1.26,1.16,1.21,1.21,21126854
2020-12-31,1.21,1.42,1.17,1.39,1.39,28701268
2021-01-01,1.39,1.49,1.3,1.36,1.36,37706129
2021-01-02,1.36,1.43,1.31,1.41,1.41,14795813
2021-01-03,1.41,1.58,1.41,1.47,1.47,39055507
2021-01-04,1.47,1.56,1.3,1.38,1.38,37590382
2021-01-05,1.38,1.52,1.34,1.5,1.5,38167272
2021-01-06,1.5,1.6,1.42,1.54,1.54,29512733
2021-01-07,1.54,1.56,1.49,1.5,1.5,26547488
2021-01-08,1.5,1.93,1.43,1.72,1.72,29827524
2021-01-09,1.73,1.82,1.65,1.76,1.76,77594410
2021-01-10,1.77,1.94,1.64,1.74,1.74,49923204
2021-01-11,1.74,1.75,1.35,1.48,1.48,43073514
2021-01-12,1.48,1.62,1.43,1.43,1.43,29861848
2021-01-13,1.43,1.61,1.39,1.61,1.61,24489993
2021-01-14,1.61,1.77,1.59,1.72,1.72,25201437
2021-01-15,1.72,1.91,1.7,1.83,1.83,52659488
2021-01-16,1.83,2.24,1.83,2.1,2.1,61167908
2021-01-17,2.09,2.74,2.02,2.51,2.51,119153078
2021-01-18,2.51,2.64,2.33,2.41,2.41,43885425
2021-01-19,2.41,2.47,2.18,2.18,2.18,35174742
2021-01-20,2.17,2.56,2.12,2.49,2.49,86392041
2021-01-21,2.49,2.55,2.14,2.17,2.17,57214223
2021-01-22,2.17,2.52,2.01,2.37,2.37,50446877
2021-01-23,2.37,2.52,2.33,2.37,2.37,23419374
2021-01-24,2.37,2.71,2.36,2.56,2.56,50469554
2021-01-25,2.56,2.68,2.44,2.45,2.45,23760402
2021-01-26,2.45,2.56,2.19,2.38,2.38,39965411
2021-01-27,2.38,2.38,2.02,2.04,2.04,41992546
2021-01-28,2.04,2.32,2.01,2.26,2.26,46315515
2021-01-29,2.26,2.34,2.11,2.2,2.2,55673610
2021-01-30,2.2,2.25,2.06,2.17,2.17,43584551
2021-01-31,2.17,2.42,2.06,2.14,2.14,56839723
2021-02-01,2.14,2.33,2.1,2.25,2.25,43167042
2021-02-02,2.26,2.54,2.22,2.47,2.47,74249728
2021-02-03,2.47,2.63,2.4,2.56,2.56,60257784
2021-02-04,2.56,2.66,2.41,2.5,2.5,64653368
2021-02-05,2.5,2.94,2.5,2.86,2.86,78257467
