Date,Close,High,Low,Open,Vol
2000-09-15,493.75,493.75,490.0,491.0,445
2000-09-18,484.0,486.0,482.5,483.25,382
2000-09-19,484.25,485.5,483.5,485.0,325
2000-09-20,483.25,484.25,483.25,483.5,321
2000-09-21,486.5,488.0,486.0,486.75,330
2000-09-22,491.0,491.5,489.5,490.0,293
2000-09-25,496.5,496.5,494.0,495.75,178
2000-09-26,496.5,496.5,494.5,494.5,208
2000-09-27,492.5,494.5,492.5,493.25,328
2000-09-28,497.0,497.0,495.25,495.25,379
2000-09-29,499.0,499.0,497.5,498.0,799
2000-10-02,488.5,488.75,486.0,488.25,258
2000-10-03,488.5,489.25,487.75,489.25,435
2000-10-04,489.0,489.0,487.0,488.25,233
2000-10-05,485.75,485.75,485.25,485.5,266
2000-10-06,486.0,486.0,484.0,484.0,231
2000-10-09,484.5,484.5,483.25,484.0,187
2000-10-10,483.0,483.0,482.5,482.75,311
2000-10-11,485.0,485.5,485.0,485.0,1017
2000-10-12,478.0,479.5,476.0,477.75,422
2000-10-13,473.25,474.5,473.0,473.75,372
2000-10-16,465.0,466.0,465.0,465.25,509
2000-10-17,467.75,467.75,464.75,465.0,167
2000-10-18,468.0,468.0,467.0,467.75,302
2000-10-19,468.0,468.0,467.25,468.0,309
2000-10-20,473.25,474.25,472.0,472.0,136
2000-10-23,468.5,468.5,467.5,468.0,142
2000-10-24,463.5,464.0,462.5,462.5,178
2000-10-25,467.25,468.5,467.0,467.75,123
2000-10-26,467.0,468.25,467.0,467.0,94
2000-10-27,461.0,462.0,461.0,461.0,141
2000-10-30,457.75,458.0,456.5,456.5,228
2000-10-31,455.25,456.0,454.75,455.75,10948
2000-11-01,462.75,466.25,459.0,459.5,124
2000-11-02,468.25,469.25,464.5,464.5,21
2000-11-03,473.5,474.0,472.75,473.0,9
2000-11-06,475.0,475.0,474.25,474.25,4
2000-11-07,473.5,474.0,473.25,474.0,6
2000-11-08,475.5,475.5,474.75,474.75,1
2000-11-09,474.0,474.5,474.0,474.0,1
2000-11-10,467.25,474.0,474.0,474.0,2
2000-11-13,462.5,462.75,462.25,462.5,14
2000-11-14,472.0,467.5,467.25,467.5,319
2000-11-15,478.5,480.0,478.5,479.0,256
2000-11-16,481.0,481.5,480.0,481.0,57
2000-11-17,479.0,479.0,477.0,477.0,300
2000-11-20,490.75,490.75,486.25,486.25,382
2000-11-21,491.25,493.0,491.25,493.0,232
2000-11-22,491.0,489.5,488.5,489.0,501
2000-11-24,495.25,495.25,492.0,492.0,354
2000-11-27,507.5,508.0,500.25,500.5,195
