Date,High,Low,Open,Close,Amount,Count,Vol
2024-05-11 14:38:00,61076.67,61044.93,61044.93,61076.67,0.109736,40,6699.9579266
2024-05-11 14:39:00,61076.67,61031.58,61076.67,61031.58,0.164942,28,10071.70194152
2024-05-11 14:40:00,61023.33,61018.68,61023.33,61018.68,0.001586,4,96.77645883
2024-05-11 14:41:00,61018.67,60992.87,61018.67,61005.75,0.13306,18,8116.71322693
2024-05-11 14:42:00,60992.85,60967.06,60992.85,60973.96,0.110135,19,6715.35456483
2024-05-11 14:43:00,60979.95,60971.12,60971.12,60979.95,0.018413,6,1122.73744004
2024-05-11 14:44:00,60989.82,60989.82,60989.82,60989.82,0.00018,1,10.9781676
2024-05-11 14:45:00,60992.6,60971.72,60989.81,60971.72,0.024562296759606903,7,1497.69055071
2024-05-11 14:46:00,60976.92,60968.32,60968.32,60976.91,0.015046,4,917.45409798
2024-05-11 14:47:00,60968.31,60932.24,60968.31,60932.24,0.140393,32,8556.24648232
2024-05-11 14:48:00,60938.5,60932.25,60932.25,60938.5,0.055014,14,3352.20978058
2024-05-11 14:49:00,60938.49,60929.61,60938.49,60929.61,0.001261,6,76.83379221
2024-05-11 14:50:00,60970.48,60920.87,60929.61,60964.11,0.262516,34,16000.17674391
2024-05-11 14:51:00,60960.63,60934.84,60960.63,60934.84,0.034836,20,2123.11654363
2024-05-11 14:52:00,60934.85,60925.18,60934.85,60925.18,0.006068,7,369.72199521
2024-05-11 14:53:00,60925.18,60912.3,60912.3,60925.18,0.281885,27,17172.28000197
2024-05-11 14:54:00,60932.1,60929.21,60932.1,60929.21,0.041426,8,2524.05881632
2024-05-11 14:55:00,60974.93,60938.07,60938.07,60974.93,0.167032,13,10183.61099782
2024-05-11 14:56:00,60981.87,60980.65,60981.87,60981.35,0.013578,5,828.0084776
2024-05-11 14:57:00,60981.35,60964.7,60981.35,60968.95,0.05631623294007102,20,3434.0482643699997
2024-05-11 14:58:00,60968.96,60962.03,60968.95,60962.03,0.018330325301924126,4,1117.55891034
2024-05-11 14:59:00,60955.62,60955.61,60955.61,60955.62,0.005344,2,325.7468212
2024-05-11 15:00:00,60974.01,60955.62,60955.62,60969.92,0.059736398369794205,25,3641.48630393
2024-05-11 15:01:00,60970.89,60955.62,60970.89,60962.62,0.158929,30,9688.62938146
2024-05-11 15:02:00,60967.72,60963.14,60967.72,60963.14,0.03591592464235417,9,2189.61771543
2024-05-11 15:03:00,60974.93,60963.13,60963.14,60974.92,0.16865411241786313,24,10282.52059794
2024-05-11 15:04:00,60970.37,60954.9,60970.37,60954.9,0.068787,15,4193.74954784
2024-05-11 15:05:00,60942.0,60935.14,60942.0,60937.1,0.113452,19,6913.56837389
