Time,id,symbol,type,state,filled_amount,filled_fees,filled_cash_amount,source
2024-04-14 08:48:11.406,1045834119884138,pbrusdt,buy-limit,filled,449.5513,0.76423721,49.45900299,api
2024-04-14 08:48:38.928,1045834128542414,pbrusdt,buy-limit,filled,462.8961,0.78692337,50.98928983,api
2024-04-14 08:55:45.259,1045834187051408,pbrusdt,sell-stop-limit,filled,910.8962,0.151864614464,94.91538404,api
2024-04-14 09:01:39.394,1045834229333479,pbrusdt,buy-limit,filled,451.9945,0.7231912,51.2561763,api
2024-04-14 09:02:39.218,1045834237491878,pbrusdt,buy-limit,filled,381.9722,0.62767552,43.85040856,api
2024-04-14 09:25:32.956,1045834421881397,pbrusdt,buy-limit,filled,83.4862,0.13357792,10.00999538,spot-web
2024-04-14 09:30:58.874,1045834472260277,pbrusdt,sell-stop-limit,filled,915.9685,0.16692609944,104.32881215,api
2024-04-14 09:37:05.177,1045834514274689,pbrusdt,buy-limit,filled,407.0163,0.65122608,49.90019838,api
2024-04-14 09:37:39.931,1045834539896501,pbrusdt,buy-limit,filled,405.3631,0.68911727,49.98127023,api
2024-04-14 10:47:29.834,1045835076607636,pbrusdt,sell-stop-limit,filled,811.039,0.15078837088,94.2427318,api
