Time,id,symbol,type,state,filled_amount,filled_fees,filled_cash_amount,source
2024-03-29 15:06:12.560,1027542026625922,xautusdt,buy-limit,filled,0.005605,8.968e-06,12.4983653,api
2024-03-29 15:57:35.323,1034087667144492,xautusdt,buy-limit,filled,0.005604,8.9664e-06,12.49865724,api
2024-03-29 15:57:53.237,1034087667177515,xautusdt,buy-limit,filled,0.005607,8.9712e-06,12.49962903,api
2024-03-29 16:11:18.462,1027542614454648,xautusdt,buy-limit,filled,0.005604,8.9664e-06,12.49792872,api
2024-03-29 16:11:28.227,1027542623039695,xautusdt,buy-limit,filled,0.005607,8.9712e-06,12.49861977,api
2024-03-29 16:24:45.241,1027542748333789,xautusdt,buy-limit,filled,0.005607,8.9712e-06,12.49794693,api
2024-03-29 16:39:25.238,1027542848933178,xautusdt,buy-limit,filled,0.00561,8.976e-06,12.4984629,api
2024-03-29 18:10:39.148,1027543595622119,xautusdt,buy-limit,filled,0.005606,8.9696e-06,12.49840882,api
2024-04-06 15:21:08.571,1042234557734695,xautusdt,buy-limit,filled,0.021448,3.43168e-05,50.00000656,api
2024-04-14 11:59:19.215,1045835688291970,xautusdt,sell-limit,filled,0.016547,0.066958163568,41.84885223,api
2024-04-14 11:59:32.628,1045835697367796,xautusdt,sell-limit,filled,0.016547,0.070925207536,44.32825471,api
2024-04-14 11:59:32.631,1045835697073170,xautusdt,sell-limit,filled,0.033095,0.14978849952,93.6178122,api
